order_id,supplier_id,product_id,quantity,order_date,delivery_date
1,1,2,50,2025-06-01,2025-06-06
2,2,5,30,2025-06-05,06/08/2025
3,3,1,100,2025-06-07,2025-06-17
4,4,6,20,2025-06-10,
5,5,3,75,06/11/2025,2025-06-15
6,1,7,15,2025-06-12,2025-06-17
7,2,4,200,2025-06-13,2025-06-16
8,,5,40,2025-06-14,2025-06-19
9,3,2,60,2025-06-15,2025/06/20
10,4,1,90,2025-06-16,
11,5,6,25,2025-06-17,2025-06-22
12,1,3,,2025-06-18,2025-06-23
13,2,7,55,2025-06-19,2025-06-21
14,3,4,35,2025-06-20,2025-06-25
15,,1,80,2025-06-21,2025-06-26
